Les Miserables;631945334381215756,453963022898036736,241829562013450240,624368348590768129,634903166311202841;tt10199590
Perfect Blue;241829562013450240,453963022898036736,634903166311202841,496353557352677376;tt0156887
Paprika;241829562013450240,634903166311202841,453963022898036736,624368348590768129,496353557352677376;tt0851578
Akira;241829562013450240,634903166311202841,343356020271349761,453963022898036736;tt0094625
The Graduate;634903166311202841,241829562013450240,624368348590768129,343356020271349761,453963022898036736,496353557352677376;tt0061722
Donnie Darko;634903166311202841,496353557352677376;tt0246578
Mean Girls;634903166311202841,496353557352677376,631945334381215756;tt0377092
Taxi Driver;634903166311202841,496353557352677376,631945334381215756,453963022898036736,241829562013450240;tt0075314
Ferris Buellers Day Off;634903166311202841,453963022898036736,631945334381215756;tt0091042
Die Welle;634903166311202841,631945334381215756,624368348590768129;tt1063669
Drive;634903166311202841,453963022898036736,241829562013450240,632324920260427777;tt0780504
Blade Runner;634903166311202841,241829562013450240;tt0083658
Snowpiercer;241829562013450240,453963022898036736,631945334381215756,632324920260427777,343356020271349761,496353557352677376,624368348590768129;tt1706620
Matrix;241829562013450240,634903166311202841,453963022898036736,631945334381215756,624368348590768129;tt0133093
The Imitation Game;634903166311202841,241829562013450240,453963022898036736;tt2084970
Dead Poets Society;634903166311202841,241829562013450240,631945334381215756;tt0097165
Gone Girl;634903166311202841,496353557352677376,241829562013450240,631945334381215756,453963022898036736,624368348590768129,343356020271349761,632324920260427777;tt2267998
Howls moving castle;453963022898036736,631945334381215756,624368348590768129,241829562013450240,634903166311202841,343356020271349761,496353557352677376;tt0347149
Fight Club;634903166311202841,241829562013450240;tt0137523
happy together;624368348590768129,631945334381215756,453963022898036736,634903166311202841,343356020271349761,496353557352677376,632324920260427777,241829562013450240;tt0118845
interstellar;453963022898036736,343356020271349761,241829562013450240,624368348590768129,496353557352677376;tt0816692
the princess bride;496353557352677376,241829562013450240,453963022898036736,631945334381215756,624368348590768129,634903166311202841,632324920260427777;tt0093779
Memento;453963022898036736,241829562013450240,496353557352677376;tt0209144
Eternal Sunshine of the Spotless Mind;453963022898036736,631945334381215756,241829562013450240,634903166311202841,496353557352677376;tt0338013
the truman show;496353557352677376,241829562013450240,632324920260427777,453963022898036736,631945334381215756,624368348590768129,343356020271349761;tt0120382
John Wick;453963022898036736,241829562013450240,634903166311202841,496353557352677376,632324920260427777,631945334381215756;tt2911666
Atomic Blonde;453963022898036736,634903166311202841;tt2406566
Nobody;453963022898036736,634903166311202841,624368348590768129;tt7888964
clueless;453963022898036736,496353557352677376,634903166311202841;tt0112697
Circle;632324920260427777,453963022898036736,631945334381215756;tt3118452
Deadpool;453963022898036736,634903166311202841,632324920260427777;tt1431045
Spider-Man: Into the Spider-Verse;453963022898036736,343356020271349761,632324920260427777;tt4633694
uptown girls;453963022898036736,634903166311202841,496353557352677376;tt0263757
007: Casino Royale;453963022898036736,632324920260427777,634903166311202841,631945334381215756;tt0381061
The Favourite;453963022898036736,634903166311202841,631945334381215756;tt5083738
The Lobster;453963022898036736,624368348590768129,634903166311202841,631945334381215756,496353557352677376;tt3464902
(500) Days of Summer;453963022898036736,634903166311202841;tt1022603
Superbad;453963022898036736,634903166311202841;tt0829482
The platform;453963022898036736,631945334381215756,241829562013450240,632324920260427777;tt8228288
Zodiac;624368348590768129,496353557352677376,241829562013450240,453963022898036736,634903166311202841;tt0443706
Whiplash;241829562013450240;tt2582802
Psycho;631945334381215756,634903166311202841,453963022898036736,624368348590768129,496353557352677376;tt0054215
Schindlers List;241829562013450240,634903166311202841,343356020271349761,453963022898036736,496353557352677376;tt0108052
Saturday Night Fever;634903166311202841,631945334381215756,496353557352677376,624368348590768129;tt0076666
Pirates of Silicon Valley;241829562013450240;tt0168122
Get Out;453963022898036736,631945334381215756;tt5052448
Between Worlds;453963022898036736,631945334381215756;tt7295450
Gisaengchung;453963022898036736,241829562013450240,496353557352677376;tt6751668
Joker;453963022898036736,631945334381215756;tt7286456
The Lighthouse;453963022898036736;tt7984734
Lady Bird;241829562013450240,453963022898036736,631945334381215756,632324920260427777;tt4925292
